id,name,segment,territory_id,assigned_salesperson_id,lat,lng,priority,avg_order_value_rm,open_pipeline_rm,last_visit_days,reorder_probability
cust-0045,Ikon Contractors 045,project_site,terr-kl-central,sp-kl-central,3.144149,101.73559,2,13412.69,5934.29,36,0.555
cust-0046,Jaya Site Services 046,distributor,terr-kl-central,sp-kl-central,3.170949,101.673465,1,2586.36,1734.67,77,0.601
cust-0047,Kencana Project Supply 047,contractor,terr-kl-central,sp-kl-central,3.133594,101.685869,3,14020.74,9780.74,36,0.578
cust-0048,Metro Trading 048,contractor,terr-kl-central,sp-kl-central,3.168068,101.642985,5,8773.95,9233.99,95,0.95
cust-0049,Apex Construction 049,distributor,terr-kl-central,sp-kl-central,3.133331,101.652138,2,11820.26,8330.03,92,0.733
cust-0050,Bintang Engineering 050,contractor,terr-kl-central,sp-kl-central,3.16087,101.667337,4,10390.11,14108.24,83,0.935
cust-0051,Cahaya Industrial 051,contractor,terr-kl-central,sp-kl-central,3.08643,101.685168,2,7348.85,4957.66,22,0.497
cust-0052,Delta Buildmart 052,maintenance,terr-kl-central,sp-kl-central,3.155175,101.729576,2,9492.36,10883.64,101,0.787
cust-0053,Eagle Contractors 053,contractor,terr-kl-central,sp-kl-central,3.140129,101.741847,2,6534.6,10044.72,103,0.735
cust-0054,Fortis Site Services 054,contractor,terr-kl-central,sp-kl-central,3.131579,101.736531,5,14901.4,19279.19,109,0.95
cust-0055,Gemilang Project Supply 055,project_site,terr-kl-central,sp-kl-central,3.175373,101.687081,2,7696.21,11222.26,69,0.656
cust-0056,Harapan Trading 056,maintenance,terr-kl-central,sp-kl-central,3.099932,101.701311,2,2489.0,4008.29,90,0.782
cust-0057,Ikon Construction 057,project_site,terr-kl-central,sp-kl-central,3.135726,101.726375,4,14965.47,22238.3,73,0.95
cust-0058,Jaya Engineering 058,distributor,terr-kl-central,sp-kl-central,3.138568,101.73266,3,7791.92,4455.41,81,0.875
cust-0059,Kencana Industrial 059,maintenance,terr-kl-central,sp-kl-central,3.151419,101.684208,2,1638.23,1381.51,105,0.846
cust-0060,Metro Buildmart 060,project_site,terr-kl-central,sp-kl-central,3.163667,101.68524,4,7496.33,9333.37,113,0.95
cust-0061,Apex Contractors 061,maintenance,terr-kl-central,sp-kl-central,3.184707,101.712826,3,9936.13,17721.89,80,0.855
cust-0062,Bintang Site Services 062,project_site,terr-kl-central,sp-kl-central,3.142076,101.6454,5,8572.23,10345.15,31,0.894
cust-0063,Cahaya Project Supply 063,project_site,terr-kl-central,sp-kl-central,3.179709,101.724039,3,14148.11,7847.85,30,0.552
cust-0064,Delta Trading 064,maintenance,terr-kl-central,sp-kl-central,3.108093,101.679006,4,12555.57,9371.66,77,0.917
cust-0065,Eagle Construction 065,project_site,terr-kl-central,sp-kl-central,3.153607,101.661189,1,12401.8,11994.82,64,0.534
cust-0066,Fortis Engineering 066,maintenance,terr-kl-central,sp-kl-central,3.185386,101.700736,1,12399.23,14926.84,25,0.427
cust-0067,Gemilang Industrial 067,distributor,terr-kl-central,sp-kl-central,3.168236,101.670822,5,4347.83,1158.23,105,0.95
cust-0068,Harapan Buildmart 068,contractor,terr-kl-central,sp-kl-central,3.133213,101.715595,4,8934.56,2031.8,109,0.95
cust-0069,Ikon Contractors 069,contractor,terr-kl-central,sp-kl-central,3.173471,101.696941,2,10223.73,2301.36,59,0.659
cust-0070,Jaya Site Services 070,maintenance,terr-kl-central,sp-kl-central,3.185694,101.700855,1,11012.51,17034.42,6,0.251
cust-0071,Kencana Project Supply 071,project_site,terr-kl-central,sp-kl-central,3.151388,101.730869,5,12476.46,8802.88,77,0.95
cust-0072,Metro Trading 072,project_site,terr-kl-central,sp-kl-central,3.141087,101.7103,4,2032.2,3653.1,69,0.819
cust-0073,Apex Construction 073,project_site,terr-kl-central,sp-kl-central,3.118355,101.703888,2,5060.17,5221.17,60,0.57
cust-0074,Bintang Engineering 074,maintenance,terr-kl-central,sp-kl-central,3.179985,101.707104,4,14117.63,12186.31,6,0.714
cust-0075,Cahaya Industrial 075,distributor,terr-kl-central,sp-kl-central,3.190118,101.668453,5,2997.97,5168.39,63,0.924
cust-0076,Delta Buildmart 076,distributor,terr-kl-central,sp-kl-central,3.183139,101.704702,2,7489.33,5926.98,21,0.491
cust-0077,Eagle Contractors 077,contractor,terr-kl-central,sp-kl-central,3.123545,101.708599,5,4557.87,1035.35,63,0.895
cust-0078,Fortis Site Services 078,contractor,terr-kl-central,sp-kl-central,3.13053,101.655379,2,2974.15,1460.61,83,0.709
cust-0079,Gemilang Project Supply 079,maintenance,terr-kl-central,sp-kl-central,3.176982,101.698947,5,4806.15,2196.64,67,0.929
cust-0080,Harapan Trading 080,distributor,terr-kl-central,sp-kl-central,3.102325,101.699813,4,6744.66,7921.61,37,0.803
cust-0081,Ikon Construction 081,contractor,terr-ampang,sp-ampang,3.148266,101.729927,5,7374.3,9938.1,23,0.812
cust-0082,Jaya Engineering 082,maintenance,terr-ampang,sp-ampang,3.158459,101.734703,4,2862.96,3420.31,60,0.847
cust-0083,Kencana Industrial 083,maintenance,terr-ampang,sp-ampang,3.127478,101.730676,5,13272.6,17215.52,46,0.865
cust-0084,Metro Buildmart 084,project_site,terr-ampang,sp-ampang,3.172655,101.750592,3,7373.75,8519.74,47,0.743
cust-0085,Apex Contractors 085,maintenance,terr-ampang,sp-ampang,3.152878,101.754671,3,6804.72,1706.59,14,0.57
cust-0086,Bintang Site Services 086,contractor,terr-ampang,sp-ampang,3.146895,101.750327,5,10943.4,3849.8,26,0.878
cust-0087,Cahaya Project Supply 087,distributor,terr-ampang,sp-ampang,3.187317,101.759777,3,4271.87,2068.22,119,0.95
cust-0088,Delta Trading 088,maintenance,terr-ampang,sp-ampang,3.190266,101.751799,3,14932.0,18820.39,88,0.88
cust-0089,Eagle Construction 089,maintenance,terr-ampang,sp-ampang,3.147107,101.792634,4,13487.3,7477.89,30,0.751
cust-0090,Fortis Engineering 090,contractor,terr-ampang,sp-ampang,3.129139,101.750689,4,3988.21,7129.38,39,0.728
cust-0091,Gemilang Industrial 091,maintenance,terr-ampang,sp-ampang,3.18546,101.765064,5,6704.64,12000.26,104,0.95
cust-0092,Harapan Buildmart 092,distributor,terr-ampang,sp-ampang,3.140397,101.799065,3,3937.11,3021.88,75,0.726
cust-0093,Ikon Contractors 093,distributor,terr-ampang,sp-ampang,3.105741,101.750676,5,15741.3,26033.59,67,0.95
cust-0094,Jaya Site Services 094,distributor,terr-ampang,sp-ampang,3.187012,101.784415,4,8383.96,4356.75,78,0.849
cust-0095,Kencana Project Supply 095,contractor,terr-ampang,sp-ampang,3.140897,101.803817,5,11035.02,4330.19,70,0.95
cust-0096,Metro Trading 096,project_site,terr-ampang,sp-ampang,3.116571,101.789063,3,12068.9,19772.57,11,0.606
cust-0097,Apex Construction 097,distributor,terr-ampang,sp-ampang,3.175609,101.781632,2,7071.99,6484.22,53,0.681
cust-0098,Bintang Engineering 098,maintenance,terr-ampang,sp-ampang,3.104272,101.740884,2,1650.7,1100.77,111,0.77
cust-0099,Cahaya Industrial 099,maintenance,terr-ampang,sp-ampang,3.147722,101.802398,4,11746.81,6924.22,30,0.675
cust-0100,Delta Buildmart 100,project_site,terr-ampang,sp-ampang,3.149166,101.80345,5,5035.53,8106.08,66,0.95
cust-0101,Eagle Contractors 101,distributor,terr-ampang,sp-ampang,3.182998,101.745006,5,4882.47,8294.64,68,0.95
cust-0102,Fortis Site Services 102,contractor,terr-ampang,sp-ampang,3.134099,101.791715,5,8417.42,13395.28,84,0.95
cust-0103,Gemilang Project Supply 103,project_site,terr-ampang,sp-ampang,3.123562,101.768032,4,6299.89,2066.85,15,0.751
cust-0104,Harapan Trading 104,maintenance,terr-ampang,sp-ampang,3.142173,101.725687,4,9432.36,10633.69,17,0.612
cust-0105,Ikon Construction 105,project_site,terr-ampang,sp-ampang,3.116132,101.751131,2,9608.56,11860.86,49,0.656
cust-0106,Jaya Engineering 106,distributor,terr-ampang,sp-ampang,3.167157,101.769266,5,13751.83,6841.39,43,0.896
cust-0107,Kencana Industrial 107,contractor,terr-ampang,sp-ampang,3.19242,101.746463,4,14944.04,6559.35,23,0.723
cust-0108,Metro Buildmart 108,project_site,terr-ampang,sp-ampang,3.114509,101.793924,5,15404.12,25814.34,6,0.792
cust-0109,Apex Contractors 109,project_site,terr-ampang,sp-ampang,3.181803,101.730029,3,9099.65,10624.41,90,0.899
cust-0110,Bintang Site Services 110,maintenance,terr-ampang,sp-ampang,3.154521,101.711599,4,11152.42,4169.78,73,0.859
cust-0111,Cahaya Project Supply 111,contractor,terr-ampang,sp-ampang,3.177754,101.778114,4,15341.34,4300.32,76,0.95
cust-0112,Delta Trading 112,distributor,terr-ampang,sp-ampang,3.158242,101.765407,3,2045.84,2203.59,96,0.87
cust-0113,Eagle Construction 113,project_site,terr-ampang,sp-ampang,3.153464,101.786093,5,8732.22,4065.85,95,0.95
cust-0114,Fortis Engineering 114,contractor,terr-ampang,sp-ampang,3.121185,101.78461,2,8508.92,14290.45,88,0.745
cust-0115,Gemilang Industrial 115,project_site,terr-ampang,sp-ampang,3.174398,101.733207,2,9840.12,10636.92,11,0.4
cust-0116,Harapan Buildmart 116,maintenance,terr-ampang,sp-ampang,3.122757,101.777695,5,13454.84,7704.69,40,0.95
cust-0117,Ikon Contractors 117,maintenance,terr-ampang,sp-ampang,3.198576,101.764975,3,5701.36,5919.88,53,0.678
cust-0118,Jaya Site Services 118,contractor,terr-ampang,sp-ampang,3.188926,101.760788,3,3361.81,4190.35,52,0.719
cust-0119,Kencana Project Supply 119,contractor,terr-ampang,sp-ampang,3.158573,101.71651,2,8857.56,11277.9,85,0.796
cust-0120,Metro Trading 120,maintenance,terr-ampang,sp-ampang,3.123496,101.750119,3,14336.77,6043.92,57,0.772
cust-0121,Apex Construction 121,maintenance,terr-ampang,sp-ampang,3.114049,101.794795,3,2240.71,3380.54,110,0.949
cust-0122,Bintang Engineering 122,distributor,terr-ampang,sp-ampang,3.159332,101.728937,2,12580.38,15445.82,74,0.741
cust-0123,Cahaya Industrial 123,maintenance,terr-ampang,sp-ampang,3.153505,101.749261,1,9373.69,11966.49,91,0.648
cust-0124,Delta Buildmart 124,project_site,terr-ampang,sp-ampang,3.138303,101.739011,2,5002.1,5583.44,15,0.38
cust-0125,Eagle Contractors 125,contractor,terr-ampang,sp-ampang,3.139989,101.735947,1,7164.02,2408.1,65,0.494
cust-0126,Fortis Site Services 126,project_site,terr-ampang,sp-ampang,3.13507,101.783512,4,8619.48,9093.13,25,0.786
cust-0127,Gemilang Project Supply 127,contractor,terr-ampang,sp-ampang,3.161455,101.808156,3,5729.07,5958.08,20,0.582
cust-0128,Harapan Trading 128,distributor,terr-ampang,sp-ampang,3.149133,101.748237,2,8284.78,14090.96,37,0.465
cust-0129,Ikon Construction 129,contractor,terr-ampang,sp-ampang,3.176103,101.785295,5,16041.54,13562.19,66,0.95
cust-0130,Jaya Engineering 130,project_site,terr-ampang,sp-ampang,3.178681,101.790711,3,8762.7,7414.14,52,0.638
cust-0131,Kencana Industrial 131,project_site,terr-ampang,sp-ampang,3.183891,101.747372,3,7998.73,10710.69,87,0.769
cust-0132,Metro Buildmart 132,maintenance,terr-ampang,sp-ampang,3.184,101.783159,2,5482.31,2746.89,104,0.784
cust-0133,Apex Contractors 133,project_site,terr-ampang,sp-ampang,3.143408,101.747867,4,13626.25,6497.47,92,0.95
cust-0134,Bintang Site Services 134,maintenance,terr-ampang,sp-ampang,3.161582,101.777164,3,10096.48,9206.09,109,0.863
cust-0135,Cahaya Project Supply 135,maintenance,terr-ampang,sp-ampang,3.139663,101.778891,4,12577.17,21715.88,68,0.842
cust-0136,Delta Trading 136,maintenance,terr-ampang,sp-ampang,3.180435,101.795934,3,11743.67,17278.21,24,0.533
cust-0137,Eagle Construction 137,distributor,terr-ampang,sp-ampang,3.129305,101.749504,5,3893.07,3176.9,97,0.95
cust-0138,Fortis Engineering 138,distributor,terr-ampang,sp-ampang,3.13769,101.742685,3,7294.76,3722.41,29,0.608
cust-0139,Gemilang Industrial 139,project_site,terr-ampang,sp-ampang,3.148732,101.780763,2,3308.58,1253.02,109,0.857
cust-0140,Harapan Buildmart 140,maintenance,terr-ampang,sp-ampang,3.122256,101.763763,4,5016.03,4828.82,47,0.766
cust-0141,Ikon Contractors 141,contractor,terr-ampang,sp-ampang,3.146605,101.716933,2,12355.44,21105.12,18,0.506
cust-0142,Jaya Site Services 142,project_site,terr-ampang,sp-ampang,3.152126,101.756872,2,10182.11,10083.68,101,0.763
cust-0143,Kencana Project Supply 143,distributor,terr-ampang,sp-ampang,3.113192,101.754282,5,8554.22,13680.61,50,0.95
cust-0144,Metro Trading 144,project_site,terr-ampang,sp-ampang,3.114068,101.760977,3,4942.29,8791.39,52,0.731
cust-0145,Apex Construction 145,contractor,terr-ampang,sp-ampang,3.147862,101.730193,5,8355.39,6663.96,11,0.792
cust-0146,Bintang Engineering 146,contractor,terr-ampang,sp-ampang,3.164235,101.767807,1,4109.78,3036.03,24,0.325
cust-0147,Cahaya Industrial 147,distributor,terr-ampang,sp-ampang,3.132611,101.72409,4,15268.25,13675.73,58,0.796
cust-0148,Delta Buildmart 148,project_site,terr-ampang,sp-ampang,3.131255,101.73634,3,2970.3,3365.42,21,0.664
cust-0149,Eagle Contractors 149,maintenance,terr-ampang,sp-ampang,3.165619,101.737112,3,12551.22,2767.65,29,0.664
cust-0150,Fortis Site Services 150,distributor,terr-ampang,sp-ampang,3.165368,101.747842,5,7730.18,10328.48,73,0.95
cust-0151,Gemilang Project Supply 151,project_site,terr-ampang,sp-ampang,3.11255,101.744813,5,14640.81,22205.41,98,0.95
cust-0152,Harapan Trading 152,distributor,terr-ampang,sp-ampang,3.159218,101.775619,2,2217.06,3736.37,36,0.462
cust-0153,Ikon Construction 153,maintenance,terr-ampang,sp-ampang,3.136309,101.800708,5,2437.72,2153.29,19,0.783
cust-0154,Jaya Engineering 154,maintenance,terr-ampang,sp-ampang,3.194946,101.746919,2,7099.06,3566.1,72,0.713
cust-0155,Kencana Industrial 155,project_site,terr-ampang,sp-ampang,3.15754,101.713309,2,4997.94,3168.72,62,0.632
cust-0156,Metro Buildmart 156,project_site,terr-ampang,sp-ampang,3.117177,101.783147,4,9416.19,10080.23,54,0.789
cust-0157,Apex Contractors 157,distributor,terr-ampang,sp-ampang,3.126196,101.75434,4,4940.21,6933.67,95,0.95
cust-0158,Bintang Site Services 158,maintenance,terr-ampang,sp-ampang,3.143439,101.741411,3,14962.32,18829.3,89,0.928
cust-0159,Cahaya Project Supply 159,maintenance,terr-ampang,sp-ampang,3.170378,101.780524,2,7600.85,12513.6,82,0.701
cust-0160,Delta Trading 160,contractor,terr-ampang,sp-ampang,3.149941,101.766676,3,2796.52,4310.27,63,0.703
cust-0161,Eagle Construction 161,project_site,terr-pj,sp-pj,3.104764,101.66431,3,11101.25,14436.57,39,0.73
cust-0162,Fortis Engineering 162,contractor,terr-pj,sp-pj,3.085121,101.602749,5,11074.2,10958.85,19,0.821
cust-0163,Gemilang Industrial 163,maintenance,terr-pj,sp-pj,3.135573,101.622248,3,6965.04,7668.32,76,0.849
cust-0164,Harapan Buildmart 164,project_site,terr-pj,sp-pj,3.110086,101.559521,4,8432.48,2742.12,114,0.95
cust-0165,Ikon Contractors 165,project_site,terr-pj,sp-pj,3.106415,101.574692,2,2563.36,2429.71,28,0.505
cust-0166,Jaya Site Services 166,contractor,terr-pj,sp-pj,3.107429,101.620254,5,11202.93,8687.21,57,0.95
cust-0167,Kencana Project Supply 167,project_site,terr-pj,sp-pj,3.085044,101.571313,5,8333.14,10560.39,89,0.95
cust-0168,Metro Trading 168,maintenance,terr-pj,sp-pj,3.147798,101.639122,2,3018.7,4451.1,95,0.816
cust-0169,Apex Construction 169,distributor,terr-pj,sp-pj,3.083521,101.654097,4,4156.08,2999.11,31,0.663
cust-0170,Bintang Engineering 170,maintenance,terr-pj,sp-pj,3.099554,101.602328,3,2114.63,2070.38,29,0.648
cust-0171,Cahaya Industrial 171,distributor,terr-pj,sp-pj,3.149724,101.575508,3,9309.1,11982.4,24,0.614
cust-0172,Delta Buildmart 172,distributor,terr-pj,sp-pj,3.060241,101.616649,4,9543.24,6934.73,48,0.851
cust-0173,Eagle Contractors 173,distributor,terr-pj,sp-pj,3.145553,101.637897,3,5738.26,3612.88,28,0.582
cust-0174,Fortis Site Services 174,contractor,terr-pj,sp-pj,3.148969,101.639467,2,11325.96,11850.57,96,0.816
cust-0175,Gemilang Project Supply 175,maintenance,terr-pj,sp-pj,3.12268,101.570843,2,10671.89,12861.69,101,0.823
cust-0176,Harapan Trading 176,contractor,terr-pj,sp-pj,3.134934,101.582532,4,7230.64,10576.36,50,0.827
cust-0177,Ikon Construction 177,project_site,terr-pj,sp-pj,3.128367,101.564838,4,7498.95,12451.59,97,0.95
cust-0178,Jaya Engineering 178,distributor,terr-pj,sp-pj,3.100174,101.663833,5,3020.41,4832.0,96,0.95
cust-0179,Kencana Industrial 179,contractor,terr-pj,sp-pj,3.10243,101.576851,4,15865.94,12885.24,87,0.95
cust-0180,Metro Buildmart 180,contractor,terr-pj,sp-pj,3.14071,101.577479,2,9038.36,8246.39,8,0.41
cust-0181,Apex Contractors 181,project_site,terr-pj,sp-pj,3.100676,101.58573,3,3100.59,2387.4,91,0.821
cust-0182,Bintang Site Services 182,contractor,terr-pj,sp-pj,3.143769,101.596462,4,14287.44,17675.67,13,0.604
cust-0183,Cahaya Project Supply 183,distributor,terr-pj,sp-pj,3.064032,101.635152,3,8910.39,9460.06,39,0.733
cust-0184,Delta Trading 184,project_site,terr-pj,sp-pj,3.138999,101.589204,3,2418.09,2037.97,39,0.732
cust-0185,Eagle Construction 185,distributor,terr-pj,sp-pj,3.143542,101.610285,4,4537.13,2916.84,82,0.924
cust-0186,Fortis Engineering 186,project_site,terr-pj,sp-pj,3.1475,101.573131,3,12994.17,21736.58,18,0.555
cust-0187,Gemilang Industrial 187,contractor,terr-pj,sp-pj,3.07459,101.624005,1,5175.22,2280.27,43,0.467
cust-0188,Harapan Buildmart 188,distributor,terr-pj,sp-pj,3.086391,101.571023,3,8738.15,10636.92,44,0.644
cust-0189,Ikon Contractors 189,distributor,terr-pj,sp-pj,3.057478,101.585314,3,14089.05,3796.25,93,0.838
cust-0190,Jaya Site Services 190,distributor,terr-pj,sp-pj,3.118651,101.610915,5,1809.5,2990.62,31,0.869
cust-0191,Kencana Project Supply 191,distributor,terr-pj,sp-pj,3.112163,101.586327,2,9464.74,6761.58,40,0.496
cust-0192,Metro Trading 192,distributor,terr-pj,sp-pj,3.080971,101.562875,3,13721.12,12239.46,33,0.674
cust-0193,Apex Construction 193,distributor,terr-pj,sp-pj,3.116327,101.590519,3,11365.34,19968.15,104,0.885
cust-0194,Bintang Engineering 194,contractor,terr-pj,sp-pj,3.156559,101.588962,3,13426.05,14565.89,110,0.936
cust-0195,Cahaya Industrial 195,maintenance,terr-pj,sp-pj,3.107935,101.606857,4,14834.01,8823.87,78,0.95
cust-0196,Delta Buildmart 196,maintenance,terr-pj,sp-pj,3.096572,101.616194,4,9340.13,10652.83,113,0.95
cust-0197,Eagle Contractors 197,maintenance,terr-pj,sp-pj,3.065688,101.572452,4,7288.98,7004.45,61,0.909
cust-0198,Fortis Site Services 198,maintenance,terr-pj,sp-pj,3.128785,101.656057,5,8035.93,10489.91,61,0.95
cust-0199,Gemilang Project Supply 199,maintenance,terr-pj,sp-pj,3.120602,101.569668,4,2753.02,940.01,35,0.744
cust-0200,Harapan Trading 200,distributor,terr-pj,sp-pj,3.081861,101.646274,3,8449.79,4919.6,5,0.564
cust-0201,Ikon Construction 201,contractor,terr-pj,sp-pj,3.096239,101.604608,1,5130.95,8302.35,106,0.639
cust-0202,Jaya Engineering 202,maintenance,terr-pj,sp-pj,3.096925,101.613465,4,9710.09,13285.76,69,0.835
cust-0203,Kencana Industrial 203,maintenance,terr-pj,sp-pj,3.056725,101.613037,3,9940.53,14517.11,100,0.893
cust-0204,Metro Buildmart 204,project_site,terr-pj,sp-pj,3.102737,101.57649,4,12814.92,8484.88,103,0.95
cust-0205,Apex Contractors 205,distributor,terr-pj,sp-pj,3.134165,101.590327,4,15217.16,13391.87,56,0.765
cust-0206,Bintang Site Services 206,maintenance,terr-pj,sp-pj,3.082211,101.604079,3,11013.34,7268.88,103,0.932
cust-0207,Cahaya Project Supply 207,contractor,terr-pj,sp-pj,3.082424,101.577449,5,4553.49,2982.93,35,0.937
cust-0208,Delta Trading 208,distributor,terr-pj,sp-pj,3.098951,101.621695,5,3563.26,1429.7,117,0.95
cust-0209,Eagle Construction 209,distributor,terr-pj,sp-pj,3.088114,101.602405,4,7492.26,12472.76,70,0.871
cust-0210,Fortis Engineering 210,distributor,terr-pj,sp-pj,3.144606,101.620992,3,8067.0,8695.75,88,0.791
cust-0211,Gemilang Industrial 211,project_site,terr-pj,sp-pj,3.139232,101.604174,3,3079.85,2710.47,54,0.744
cust-0212,Harapan Buildmart 212,distributor,terr-pj,sp-pj,3.072373,101.573715,2,8863.79,10334.81,104,0.774
cust-0213,Ikon Contractors 213,maintenance,terr-pj,sp-pj,3.079472,101.647218,3,12069.22,11828.12,19,0.541
cust-0214,Jaya Site Services 214,maintenance,terr-pj,sp-pj,3.069768,101.617054,2,2291.5,538.18,120,0.868
cust-0215,Kencana Project Supply 215,distributor,terr-pj,sp-pj,3.097323,101.601761,5,9685.15,4707.12,43,0.925
cust-0216,Metro Trading 216,distributor,terr-pj,sp-pj,3.148029,101.639081,3,9353.78,16360.65,76,0.862
cust-0217,Apex Construction 217,project_site,terr-pj,sp-pj,3.103005,101.558038,4,6368.64,2975.8,14,0.709
cust-0218,Bintang Engineering 218,project_site,terr-pj,sp-pj,3.075399,101.613567,4,15586.2,14232.34,38,0.783
